CODE;NAME;PLATFORM;YEAR;GENRE;PUBLISHER
16;Kinect Adventures!;X360;2010;Misc;Microsoft Game Studios
17;Grand Theft Auto V;PS3;2013;Action;Take-Two Interactive
18;Grand Theft Auto: San Andreas;PS2;2004;Action;Take-Two Interactive
24;Grand Theft Auto V;X360;2013;Action;Take-Two Interactive
25;Grand Theft Auto: Vice City;PS2;2002;Action;Take-Two Interactive
29;Gran Turismo 3: A-Spec;PS2;2001;Racing;Sony Computer Entertainment
30;Call of Duty: Modern Warfare 3;X360;2011;Shooter;Activision
32;Call of Duty: Black Ops;X360;2010;Shooter;Activision
34;Call of Duty: Black Ops 3;PS4;2015;Shooter;Activision
35;Call of Duty: Black Ops II;PS3;2012;Shooter;Activision
36;Call of Duty: Black Ops II;X360;2012;Shooter;Activision
37;Call of Duty: Modern Warfare 2;X360;2009;Shooter;Activision
38;Call of Duty: Modern Warfare 3;PS3;2011;Shooter;Activision
39;Grand Theft Auto III;PS2;2001;Action;Take-Two Interactive
41;Call of Duty: Black Ops;PS3;2010;Shooter;Activision
44;Halo 3;X360;2007;Shooter;Microsoft Game Studios
45;Grand Theft Auto V;PS4;2014;Action;Take-Two Interactive
48;Gran Turismo 4;PS2;2004;Racing;Sony Computer Entertainment
52;Grand Theft Auto IV;X360;2008;Action;Take-Two Interactive
55;Gran Turismo 5;PS3;2010;Racing;Sony Computer Entertainment
56;Call of Duty: Modern Warfare 2;PS3;2009;Shooter;Activision
57;Grand Theft Auto IV;PS3;2008;Action;Take-Two Interactive
62;Call of Duty: Ghosts;X360;2013;Shooter;Activision
63;Halo: Reach;X360;2010;Shooter;Microsoft Game Studios
66;Halo 4;X360;2012;Shooter;Microsoft Game Studios
68;Call of Duty: Ghosts;PS3;2013;Shooter;Activision
71;Call of Duty 4: Modern Warfare;X360;2007;Shooter;Activision
73;Minecraft;X360;2013;Misc;Microsoft Game Studios
76;The Elder Scrolls V: Skyrim;X360;2011;Role-Playing;Bethesda Softworks
78;FIFA 16;PS4;2015;Sports;Electronic Arts
80;Halo 2;XB;2004;Shooter;Microsoft Game Studios
83;FIFA Soccer 13;PS3;2012;Action;Electronic Arts
87;Final Fantasy X;PS2;2001;Role-Playing;Sony Computer Entertainment
93;Star Wars Battlefront (2015);PS4;2015;Shooter;Electronic Arts
94;Call of Duty: Advanced Warfare;PS4;2014;Shooter;Activision
99;Call of Duty: World at War;X360;2008;Shooter;Activision
100;Battlefield 3;X360;2011;Shooter;Electronic Arts
102;Call of Duty: Black Ops 3;XOne;2015;Shooter;Activision
104;Battlefield 3;PS3;2011;Shooter;Electronic Arts
105;Need for Speed Underground;PS2;2003;Racing;Electronic Arts
110;Fallout 4;PS4;2015;Role-Playing;Bethesda Softworks
113;FIFA 14;PS3;2013;Sports;Electronic Arts
114;Need for Speed Underground 2;PS2;2004;Racing;Electronic Arts
115;Medal of Honor: Frontline;PS2;2002;Shooter;Electronic Arts
116;Uncharted 3: Drake's Deception;PS3;2011;Action;Sony Computer Entertainment
119;Gears of War 2;X360;2008;Shooter;Microsoft Game Studios
120;Uncharted 2: Among Thieves;PS3;2009;Action;Sony Computer Entertainment
121;Call of Duty 4: Modern Warfare;PS3;2007;Shooter;Activision
122;FIFA 12;PS3;2011;Sports;Electronic Arts
124;Red Dead Redemption;PS3;2010;Action;Take-Two Interactive
125;FIFA 15;PS4;2014;Sports;Electronic Arts
127;The Elder Scrolls V: Skyrim;PS3;2011;Role-Playing;Bethesda Softworks
129;Assassin's Creed III;PS3;2012;Action;Ubisoft
130;Halo: Combat Evolved;XB;2001;Shooter;Microsoft Game Studios
132;Kingdom Hearts;PS2;2002;Role-Playing;Sony Computer Entertainment
134;Halo 3: ODST;X360;2009;Shooter;Microsoft Game Studios
135;Red Dead Redemption;X360;2010;Action;Take-Two Interactive
140;Kinect Sports;X360;2010;Sports;Microsoft Game Studios
141;Gears of War 3;X360;2011;Shooter;Microsoft Game Studios
142;Gears of War;X360;2006;Shooter;Microsoft Game Studios
143;Metal Gear Solid 2: Sons of Liberty;PS2;2001;Action;Konami Digital Entertainment
145;Metal Gear Solid 4: Guns of the Patriots;PS3;2008;Action;Konami Digital Entertainment
147;The Last of Us;PS3;2013;Action;Sony Computer Entertainment Europe
148;Final Fantasy XII;PS2;2006;Role-Playing;Square Enix
149;LittleBigPlanet;PS3;2008;Platform;Sony Computer Entertainment
155;Destiny;PS4;2014;Shooter;Activision
157;Assassin's Creed II;PS3;2009;Action;Ubisoft
159;Assassin's Creed;X360;2007;Adventure;Ubisoft
160;Batman: Arkham City;PS3;2011;Action;Warner Bros. Interactive Entertainment
161;Forza Motorsport 3;X360;2009;Racing;Microsoft Game Studios
167;Call of Duty: World at War;PS3;2008;Shooter;Activision
168;Crash Bandicoot: The Wrath of Cortex;PS2;2001;Platform;Universal Interactive
169;Minecraft;PS3;2014;Misc;Sony Computer Entertainment
170;Final Fantasy XIII;PS3;2009;Role-Playing;Square Enix
173;Assassin's Creed III;X360;2012;Action;Ubisoft
175;Final Fantasy X-2;PS2;2003;Role-Playing;Electronic Arts
177;Assassin's Creed II;X360;2009;Action;Ubisoft
181;Dragon Quest VIII: Journey of the Cursed King;PS2;2004;Role-Playing;Square Enix
186;FIFA Soccer 13;X360;2012;Action;Electronic Arts
191;Medal of Honor: Rising Sun;PS2;2003;Shooter;Electronic Arts
193;Fable III;X360;2010;Role-Playing;Microsoft Game Studios
194;Call of Duty: Advanced Warfare;XOne;2014;Shooter;Activision
196;Guitar Hero II;PS2;2006;Misc;RedOctane
197;Resident Evil 5;PS3;2009;Action;Capcom
198;Grand Theft Auto V;XOne;2014;Action;Take-Two Interactive
200;FIFA Soccer 11;PS3;2010;Sports;Electronic Arts
208;Guitar Hero III: Legends of Rock;PS2;2007;Misc;Activision
209;Fallout 3;X360;2008;Role-Playing;Bethesda Softworks
211;Uncharted: Drake's Fortune;PS3;2007;Action;Sony Computer Entertainment
212;Madden NFL 06;PS2;2005;Sports;Electronic Arts
217;God of War III;PS3;2010;Action;Sony Computer Entertainment
219;Assassin's Creed;PS3;2007;Adventure;Ubisoft
220;FIFA 15;PS3;2014;Sports;Electronic Arts
222;FIFA 17;PS4;2016;Sports;Electronic Arts
223;Batman: Arkham City;X360;2011;Action;Warner Bros. Interactive Entertainment
225;The Simpsons: Hit & Run;PS2;2003;Racing;Vivendi Games
228;The Lord of the Rings: The Two Towers;PS2;2002;Action;Electronic Arts
229;Forza Motorsport 4;X360;2011;Racing;Microsoft Game Studios
237;The Last of Us;PS4;2014;Action;Sony Computer Entertainment
238;Guitar Hero III: Legends of Rock;X360;2007;Misc;Activision
239;Madden NFL 2005;PS2;2004;Sports;Electronic Arts
241;Madden NFL 07;PS2;2006;Sports;Electronic Arts
242;Spider-Man: The Movie;PS2;2002;Action;Activision
244;Uncharted: The Nathan Drake Collection;PS4;2015;Action;Sony Computer Entertainment
245;Call of Duty: Advanced Warfare;PS3;2014;Shooter;Activision
246;God of War;PS2;2005;Action;Sony Computer Entertainment
249;Tony Hawk's Pro Skater 3;PS2;2001;Sports;Activision
250;Winning Eleven: Pro Evolution Soccer 2007;PS2;2006;Sports;Konami Digital Entertainment
251;The Elder Scrolls IV: Oblivion;X360;2006;Role-Playing;Take-Two Interactive
253;Need for Speed: Most Wanted;PS2;2005;Racing;Electronic Arts
254;Resistance: Fall of Man;PS3;2006;Shooter;Sony Computer Entertainment
256;Kingdom Hearts II;PS2;2005;Role-Playing;Square Enix
257;FIFA 14;X360;2013;Sports;Electronic Arts
258;Call of Duty: Advanced Warfare;X360;2014;Shooter;Activision
260;Fable II;X360;2008;Role-Playing;Microsoft Game Studios
261;Halo 5: Guardians;XOne;2015;Shooter;Microsoft Game Studios
263;Batman: Arkham Asylum;PS3;2009;Action;Eidos Interactive
264;Assassin's Creed: Revelations;PS3;2011;Action;Ubisoft
266;Metal Gear Solid 3: Snake Eater;PS2;2004;Action;Konami Digital Entertainment
270;FIFA Soccer 06;PS2;2005;Sports;Electronic Arts
271;EyeToy Play;PS2;2003;Misc;Sony Computer Entertainment
272;Uncharted 4: A Thief's End;PS4;2016;Shooter;Sony Computer Entertainment
273;Gran Turismo 5 Prologue;PS3;2007;Racing;Sony Computer Entertainment
274;Assassin's Creed: Revelations;X360;2011;Action;Ubisoft
275;Street Fighter IV;PS3;2009;Fighting;Capcom
276;FIFA 12;X360;2011;Sports;Electronic Arts
280;Madden NFL 2003;PS2;2002;Sports;Electronic Arts
281;Watch Dogs;PS4;2014;Action;Ubisoft
284;FIFA Soccer 07;PS2;2006;Sports;Electronic Arts
288;Fallout 4;XOne;2015;Role-Playing;Bethesda Softworks
290;Fallout: New Vegas;X360;2010;Role-Playing;Bethesda Softworks
291;God of War II;PS2;2007;Action;Sony Computer Entertainment
292;Forza Motorsport 2;X360;2007;Racing;Microsoft Game Studios
293;World Soccer Winning Eleven 9;PS2;2005;Sports;Konami Digital Entertainment
295;Tekken Tag Tournament;PS2;2000;Fighting;Namco Bandai Games
296;Far Cry 4;PS4;2014;Shooter;Ubisoft
298;Minecraft;PS4;2014;Misc;Sony Computer Entertainment Europe
300;Fallout 3;PS3;2008;Role-Playing;Bethesda Softworks
302;Left 4 Dead 2;X360;2009;Shooter;Electronic Arts
303;Namco Museum: 50th Anniversary;PS2;2005;Misc;Namco Bandai Games
305;Assassin's Creed: Unity;PS4;2014;Action;Ubisoft
307;Tony Hawk's Underground;PS2;2003;Sports;Activision
308;Assassin's Creed IV: Black Flag;PS3;2013;Action;Ubisoft
310;MotorStorm;PS3;2006;Racing;Sony Computer Entertainment
312;Tekken 5;PS2;2005;Fighting;Namco Bandai Games
314;Sports Champions;PS3;2010;Sports;Sony Computer Entertainment
315;NBA 2K16;PS4;2015;Sports;Take-Two Interactive
316;World Soccer Winning Eleven 8 International;PS2;2004;Sports;Konami Digital Entertainment
323;Batman: Arkham Knight;PS4;2015;Action;Warner Bros. Interactive Entertainment
325;LEGO Indiana Jones: The Original Adventures;X360;2008;Action;Activision
332;The Witcher 3: Wild Hunt;PS4;2015;Role-Playing;Namco Bandai Games
